# cl_TT                  cl_TE                    cl_EE
4.422559893170772739e+03 1.780623962505513092e+01 1.167926736617933142e-01
3.925267035401331214e+03 2.465049550165332448e+01 3.176298770277889982e-01
3.660544549818299402e+03 2.987887199013519890e+01 6.110441817422550548e-01
3.480384464438795931e+03 3.353436523999727825e+01 9.686166059524778937e-01
3.340971509020793292e+03 3.576874667474346836e+01 1.352023684584242602e+00
3.225780362229056209e+03 3.680826275237669876e+01 1.720738829647544765e+00
3.128917293326232993e+03 3.688872157902844151e+01 2.038465023007627330e+00
3.046506904278539878e+03 3.623059520911667875e+01 2.277794644892433773e+00
2.974994541624545491e+03 3.507073950809741092e+01 2.421530974927493585e+00
2.914973118623039682e+03 3.357751038796379817e+01 2.463071939859201365e+00
2.866595107317526981e+03 3.181862505464788171e+01 2.407281447902581917e+00
2.826658328397084460e+03 2.986746810194606283e+01 2.268501061146621200e+00
2.793026229102396428e+03 2.784044863749549847e+01 2.066007262976439218e+00
2.766603865397116351e+03 2.582466703569126665e+01 1.820659069408702369e+00
2.748190485005285609e+03 2.384063619833674252e+01 1.553371506307962058e+00
2.736924554094548512e+03 2.188143027126521289e+01 1.283800012806312285e+00
2.728561309777567203e+03 1.992322100045075217e+01 1.028598028220783833e+00
2.729303705735657786e+03 1.804216057389707473e+01 8.011650463446514658e-01
2.732709936028929860e+03 1.620534910679049290e+01 6.095718061170429802e-01
2.737810073509893300e+03 1.443357748364881132e+01 4.568818230634411615e-01
2.746207086614477703e+03 1.276355410660225154e+01 3.440183797534792642e-01
2.757211064182495647e+03 1.121609262811271357e+01 2.673254856550461023e-01
2.770166131248469810e+03 9.812015671893922431e+00 2.216274825276540184e-01
2.784699793171694182e+03 8.566677020212766891e+00 2.002286345104472565e-01
2.800448321342300915e+03 7.501175302692515423e+00 1.962209431661914860e-01
2.817287221440324629e+03 6.621007246895633358e+00 2.031570601456880731e-01
2.834625838079491587e+03 5.943033599821188950e+00 2.151179455391799833e-01
2.852679986838322748e+03 5.464695263783690748e+00 2.279604449231893426e-01
2.870755268841280667e+03 5.184457596782411137e+00 2.384602746984719746e-01
2.889205925491021844e+03 5.085720675472183316e+00 2.454004342041821163e-01
2.907625647247461529e+03 5.156581763611840508e+00 2.483803056981567225e-01
2.925857921603526393e+03 5.377086241065152095e+00 2.482873899374323512e-01
2.943987488123683306e+03 5.725796723789196463e+00 2.464213806175482580e-01
2.961996806559252036e+03 6.176760280260328528e+00 2.445807976229982250e-01
2.979848223209467506e+03 6.701925362900222893e+00 2.445863377329226818e-01
2.997487544694887674e+03 7.272356330198067376e+00 2.480082363009449564e-01
3.014963332637261828e+03 7.861692737948771104e+00 2.561336874362752924e-01
3.032297356109680550e+03 8.446731660768545424e+00 2.693369210131751346e-01
3.049532472173186306e+03 9.003888962391544126e+00 2.877597788588776018e-01
3.066655551904729236e+03 9.511683998169974785e+00 3.112816923913319656e-01
3.083683062182767117e+03 9.956469096744552161e+00 3.387468887348777380e-01
3.100635914994072209e+03 1.032526287124938236e+01 3.687583360930566378e-01
3.117528499698799806e+03 1.060734989775532000e+01 3.998702542542608707e-01
3.134457533923275150e+03 1.079342936227628336e+01 4.307360891290467064e-01
3.151441559326615334e+03 1.088134924811630455e+01 4.603050397188724330e-01
3.168417374558348001e+03 1.087136971555608511e+01 4.875949645171948066e-01
3.185351633998450325e+03 1.076314980395935272e+01 5.116212774330523017e-01
3.202253388599916434e+03 1.055691927485586490e+01 5.316636735450378515e-01
3.219225323148768439e+03 1.025788732743443177e+01 5.480476159290612603e-01
3.236396308183440851e+03 9.871857564767829274e+00 5.613738622344710549e-01
3.253697020570913082e+03 9.405538960433830198e+00 5.722458711742277604e-01
3.270976381280759142e+03 8.868018853464176843e+00 5.813101907936796264e-01
3.288247115979140744e+03 8.268359370554037469e+00 5.895328021423480447e-01
3.305545573065527151e+03 7.615766124842349605e+00 5.979559874766443572e-01
3.322894088279008429e+03 6.919317405310677849e+00 6.076224973056310041e-01
3.340296704997638244e+03 6.187985342871813899e+00 6.194579451152278926e-01
3.357718081855041873e+03 5.430374280759467709e+00 6.339209838614255910e-01
3.375150598413165881e+03 4.654759520806996065e+00 6.513483583772144980e-01
3.392638815342683301e+03 3.867939513421285280e+00 6.721040960269476505e-01
3.410185229044645439e+03 3.078587363832567370e+00 6.963874843849147123e-01
3.427780614436275300e+03 2.291655165481533363e+00 7.239766133295211237e-01
3.445417309416145599e+03 1.511116570925463698e+00 7.545423589903441641e-01
3.463076387309289657e+03 7.409252783583561985e-01 7.877571759596768697e-01
3.480765267727230366e+03 -1.589463818924562177e-02 8.232903255658492458e-01
3.498529503854377253e+03 -7.597095022891896532e-01 8.607988433229918357e-01
3.516387541981213872e+03 -1.491101380923091968e+00 8.999343062982614327e-01
3.534337758333018428e+03 -2.211177337204818905e+00 9.403551827882781211e-01
3.552393327878867240e+03 -2.921196617745132063e+00 9.817653538244224265e-01
3.570586292956179932e+03 -3.624778768700033016e+00 1.024069397772864987e+00
3.588960133910205059e+03 -4.326842004450179857e+00 1.067237220518262308e+00
3.607529380231757841e+03 -5.032248298244613061e+00 1.111238767266945260e+00
3.626274847070350461e+03 -5.745356291500749890e+00 1.156058603776507487e+00
3.645205848938879171e+03 -6.471137764342531185e+00 1.201735718142481257e+00
3.664352312377461658e+03 -7.214586383519134394e+00 1.248322540869201580e+00
3.683748030280224157e+03 -7.980955563919366114e+00 1.295871384448271657e+00
3.703449143864468624e+03 -8.776353907940135812e+00 1.344357487417093822e+00
3.723417280492420559e+03 -9.606860095815251910e+00 1.393397431051904611e+00
3.743666769830676913e+03 -1.047992255937832518e+01 1.442532432360089878e+00
3.764237973914840950e+03 -1.140313504748053397e+01 1.491301626794114821e+00
3.785163261117125785e+03 -1.238222885872076340e+01 1.539329310583618993e+00
3.806451842006313200e+03 -1.341553657585565595e+01 1.586588316373419794e+00
3.828114643817797059e+03 -1.449947375651588821e+01 1.633136910124355357e+00
3.850149137987753420e+03 -1.563058373257478095e+01 1.679035524896971943e+00
3.872583130307759347e+03 -1.680545061630605019e+01 1.724337499284894104e+00
3.895404123252003046e+03 -1.802026915176952215e+01 1.769100662602574703e+00
3.918601634722849667e+03 -1.927121365563270672e+01 1.813385963285941704e+00
3.942171568551355449e+03 -2.055461589280224999e+01 1.857251532266291916e+00
3.966102363444550974e+03 -2.186673906483047602e+01 1.900758143257323507e+00
3.990397852995965422e+03 -2.320384694529372993e+01 1.943966462179018473e+00
4.015052212290238913e+03 -2.456237783705636701e+01 1.986929347715737260e+00
4.040050531354568193e+03 -2.593843137118217967e+01 2.029715472038311486e+00
4.065389596575575069e+03 -2.732830456347229031e+01 2.072370011952925140e+00
4.091074572838291260e+03 -2.872802798871649088e+01 2.114938157987082068e+00
4.117073581595338510e+03 -3.013377666383820142e+01 2.157500187680892356e+00
4.143372256132003713e+03 -3.154186384666480336e+01 2.200119555430346985e+00
4.169959891713212528e+03 -3.294842117999672126e+01 2.242852473631264942e+00
4.196831468607447277e+03 -3.434965291284559896e+01 2.285758993478802292e+00
4.223971516608842649e+03 -3.574253698259897760e+01 2.328875098629771934e+00
4.251378491746954751e+03 -3.712645961985152354e+01 2.372150677515824757e+00
4.279048221475020000e+03 -3.850171389825751334e+01 2.415497475836482888e+00
4.306984215566835701e+03 -3.986785194573118218e+01 2.458802233463768250e+00
4.335173298579986294e+03 -4.122531445831221930e+01 2.502011888010531315e+00
4.363611501949520061e+03 -4.257453567051511101e+01 2.545051679339949136e+00
4.392288599722729487e+03 -4.391565682358757527e+01 2.587837621315438152e+00
4.421195870863688469e+03 -4.524890351420581425e+01 2.630297944705124014e+00
4.450331459117403938e+03 -4.657452109212378843e+01 2.672354126252300066e+00
4.479688492957523522e+03 -4.789265568457633293e+01 2.713926871145724729e+00
4.509253352502611961e+03 -4.920359086266355320e+01 2.754939583199472519e+00
4.539026580808265862e+03 -5.050715689453041080e+01 2.795305541342123501e+00
4.569004438261781615e+03 -5.180278398707470444e+01 2.834919031611500273e+00
4.599167631334031284e+03 -5.309177848812739597e+01 2.873749344451131726e+00
4.629513778616169475e+03 -5.437436859840067882e+01 2.911719213018150842e+00
4.660029894112906732e+03 -5.565078794585140542e+01 2.948758353217676653e+00
4.690713973842859559e+03 -5.692135256919124231e+01 2.984793214663605365e+00
4.721558457065952098e+03 -5.818627154844971727e+01 3.019750193629481938e+00
4.752546954439609181e+03 -5.944556863981529204e+01 3.053569264964401508e+00
4.783685926021968953e+03 -6.069819011190956815e+01 3.086237063550067106e+00
4.814956439535189929e+03 -6.194122372812991273e+01 3.117687456628718046e+00
4.846358408502428574e+03 -6.317447073521208978e+01 3.147964689632699820e+00
4.877882098001270606e+03 -6.439710623455138716e+01 3.177055513541623188e+00
4.909525930758110917e+03 -6.560768956156582021e+01 3.204960129578029893e+00
4.941279195765077930e+03 -6.680502672265180308e+01 3.231673927321222717e+00
4.973131910035901456e+03 -6.798793388878313237e+01 3.257193801223488894e+00
5.005087188665106623e+03 -6.915518101943604279e+01 3.281512868034651476e+00
5.037132827395925233e+03 -7.030561019385015697e+01 3.304642181414659152e+00
5.069255408059738329e+03 -7.143700520255659114e+01 3.326546013493658194e+00
5.101452687529660579e+03 -7.254765267654180150e+01 3.347215168506223915e+00
5.133712620400265223e+03 -7.363781024441799161e+01 3.366689537147191214e+00
5.166028673412268290e+03 -7.470628290923269788e+01 3.384965656516191412e+00
5.198377539755980251e+03 -7.575196992589964395e+01 3.402057573478809438e+00
5.230749838466683286e+03 -7.677365277518718756e+01 3.417968471971680522e+00
5.263130882503379325e+03 -7.777021725684907949e+01 3.432701900912930704e+00
5.295506011042913087e+03 -7.874046346738023772e+01 3.446265936747579861e+00
5.327851168950604915e+03 -7.968338120861434959e+01 3.458663611568022489e+00
5.360139643112939666e+03 -8.059543216783745834e+01 3.469830368021978639e+00
5.392370663117133518e+03 -8.147839525519910353e+01 3.479800573097601823e+00
5.424536415493665118e+03 -8.233181186954114139e+01 3.488559819054221300e+00
5.456627115821016559e+03 -8.315493606771386226e+01 3.496086115924582405e+00
5.488628818515362582e+03 -8.394713594790877664e+01 3.502364265041256086e+00
5.520525640506978561e+03 -8.470772038588194164e+01 3.507382845266089344e+00
5.552302768577378629e+03 -8.543604946702022573e+01 3.511125382052928678e+00
5.583940530912846043e+03 -8.613155585945709447e+01 3.513580532676326307e+00
5.615389485064383734e+03 -8.679197833710728105e+01 3.514720296829034307e+00
5.646629132663723794e+03 -8.741677872731766286e+01 3.514537752524939496e+00
5.677655324424085848e+03 -8.800680316110528167e+01 3.513050968571305166e+00
5.708440724180442885e+03 -8.856160290948150760e+01 3.510236818441779150e+00
5.738971084474744202e+03 -8.908057057431700798e+01 3.506093102246104820e+00
5.769224824857345084e+03 -8.956323555753645849e+01 3.500617570949035695e+00
5.799185639670758974e+03 -9.000924836710674981e+01 3.493807916292255289e+00
5.828837271345158115e+03 -9.041819362273699312e+01 3.485661760731534109e+00
5.858160885777027943e+03 -9.078943660837282437e+01 3.476168343558003748e+00
5.887093271123599152e+03 -9.111967093405371543e+01 3.465322132282523171e+00
5.915671812885328109e+03 -9.141163824295693985e+01 3.453137051828828685e+00
5.943865710377286632e+03 -9.166495178813498512e+01 3.439610348025891717e+00
5.971662545109913481e+03 -9.187937091259840372e+01 3.424746291410566634e+00
5.999048340115712563e+03 -9.205463442784910910e+01 3.408553293587922806e+00
6.026006433482844841e+03 -9.219029590500441884e+01 3.391057292634349629e+00
6.052519539101479495e+03 -9.228600117650776724e+01 3.372290498219486121e+00
6.078580759701161696e+03 -9.234136401617715251e+01 3.352277252572683164e+00
6.104147561584479263e+03 -9.235413425636352258e+01 3.331068544379063745e+00
6.129213011905357234e+03 -9.232486950728572594e+01 3.308701232679797766e+00
6.153794261871088565e+03 -9.225452013175325305e+01 3.285201528532040172e+00
6.177877374453985794e+03 -9.214290307816042969e+01 3.260599448979760950e+00
6.201449719933511915e+03 -9.198974121359754008e+01 3.234938591297072286e+00
6.224500857998460560e+03 -9.179481327484326414e+01 3.208252470307169979e+00
6.247021810596113028e+03 -9.155797192256856931e+01 3.180570555101106756e+00
6.269005451846026517e+03 -9.127910035149341184e+01 3.151935492521459103e+00
6.290422922232335623e+03 -9.095749386216280641e+01 3.122394029947896943e+00
6.311229782298880309e+03 -9.059117180774318001e+01 3.092021749186387947e+00
6.331464568728102677e+03 -9.018259547964782996e+01 3.060815786443436881e+00
6.351109770881563236e+03 -8.973152669928001046e+01 3.028814692595145353e+00
6.370162561884799288e+03 -8.923801771509263858e+01 2.996056443208270803e+00
6.388619295007181790e+03 -8.870211062796437318e+01 2.962580706790265417e+00
6.406470710460390364e+03 -8.812384374483086447e+01 2.928426925360066324e+00
6.423716869786472671e+03 -8.750326654426322648e+01 2.893635576520470654e+00
6.440357886969820356e+03 -8.684042378766490344e+01 2.858246221554275657e+00
6.456320547110692132e+03 -8.613335333616596756e+01 2.822365916659692164e+00
6.471647478847921775e+03 -8.538365348116734310e+01 2.786000208816596491e+00
6.486336772660043607e+03 -8.459236053429721380e+01 2.749180665680752256e+00
6.500368929071967614e+03 -8.376007258034684355e+01 2.711963395417532841e+00
6.513727591385371852e+03 -8.288721335915599298e+01 2.674405221393260312e+00
6.526394810765670627e+03 -8.197439020719768621e+01 2.636562658813330184e+00
6.538357197092751449e+03 -8.102209891866645819e+01 2.598491319018081391e+00
6.549601676648799184e+03 -8.003079856148526972e+01 2.560247808712229123e+00
6.560091648060034458e+03 -7.900053467275465380e+01 2.521926735179323753e+00
6.569824797266563110e+03 -7.793116944092497533e+01 2.483642641798263995e+00
6.578838460134787965e+03 -7.682499374321669450e+01 2.445362029451655150e+00
6.587142964970983485e+03 -7.568269562064176625e+01 2.407139760464314993e+00
6.594748265131865992e+03 -7.450496906650438689e+01 2.369029853561509746e+00
6.601656401833663040e+03 -7.329250176980498566e+01 2.331088176713187465e+00
6.607869293235204168e+03 -7.204600424436759454e+01 2.293364320799831546e+00
