# h        omch2      ombh2      ln(10^10*As)    ns    tau
0.57696136 0.20133519 0.00726907 4.24158663 1.03640585 0.13909938
0.88811418 0.16073987 0.00858294 4.58707035 1.03041934 0.14987261
0.40444806 0.73282810 0.01689223 4.03800709 1.26035490 0.03871442
0.80851859 0.83900821 0.03830532 2.38477339 1.07099529 0.11524324
0.46425225 0.75433467 0.03702338 3.23624245 0.82494121 0.19336993
0.40369643 0.73796659 0.01844970 2.73712437 0.87105776 0.05931730
0.85252586 0.48538827 0.03827986 4.47419505 1.18892296 0.24731961
0.46491260 0.94737325 0.03289070 3.98501498 1.09835580 0.19621917
0.64189472 0.04984568 0.02233165 2.29085240 1.29150901 0.19609432
0.47192722 0.63042882 0.01327048 4.63564864 1.17335716 0.22679261
0.79285815 0.70653442 0.02038384 2.78614783 1.28768537 0.26042690
0.64483780 0.05970276 0.03862481 1.89774890 1.26081700 0.14982105
0.30896287 0.06359122 0.01195745 1.65886136 1.15864839 0.29447902
0.36572514 0.10067645 0.02903685 2.83343611 0.77698280 0.13436402
0.35016161 0.09105293 0.00751989 4.78169118 1.15204265 0.04394469
0.94767872 0.10158765 0.02613321 4.08456814 0.98153236 0.19802596
0.43425766 0.66991326 0.03138208 3.80912490 0.89224198 0.03443629
0.30831892 0.70984527 0.03213318 2.45212663 0.71584791 0.16553958
0.51782161 0.03674676 0.02428631 2.68535729 0.75137041 0.15078204
0.61788406 0.98836338 0.01549592 3.55640658 0.79552798 0.15844043
0.61140451 0.74942367 0.02509572 3.48963785 1.07103282 0.20334616
0.95377228 0.36239839 0.03835140 2.86158984 0.98739252 0.26126731
0.59135732 0.92963250 0.03734153 4.34734971 1.23021018 0.16031589
0.82594686 0.42829352 0.03251008 2.78346805 1.27243424 0.25650688
0.20983648 0.87420066 0.03769323 3.15441534 0.75263712 0.12877518
0.82808274 0.26485980 0.02084901 2.83050705 1.07121032 0.16347840
0.92816355 0.18442543 0.02913985 4.24427280 1.05946510 0.28435448
0.52369856 0.20651097 0.00549998 2.63662575 0.84840527 0.11158832
0.60966419 0.34604664 0.03964890 3.03268511 0.74070969 0.21474315
0.96416003 0.70197741 0.02114241 3.87841443 1.22267185 0.08738475
0.45540938 0.54870958 0.02165654 1.99301373 0.98498316 0.22266485
0.96719458 0.10797228 0.01773956 3.34114101 1.26209810 0.13032500
0.76688463 0.90890209 0.01370742 1.98858044 1.17906745 0.02913263
0.83595458 0.74165945 0.01188156 3.61300661 0.76353850 0.09737856
0.93321480 0.32197296 0.01672666 4.11439073 0.98603520 0.19289030
0.98517988 0.77349151 0.01444150 2.71661039 1.11989769 0.07545742
0.65744653 0.02812225 0.01590299 2.88747212 0.99890620 0.03596418
0.74688142 0.60597450 0.00862160 3.11111066 0.91763651 0.10764775
0.27734657 0.44823949 0.03076885 1.68751983 0.85925149 0.11241664
0.89456475 0.40945541 0.01523569 3.26685057 0.77279118 0.11416762
0.82260175 0.25722758 0.03022179 3.94920366 0.76517775 0.26502629
0.78734688 0.53811792 0.02749832 3.25209836 1.10745238 0.19188819
0.51346313 0.43801303 0.00677691 2.32978776 0.99274754 0.12551777
0.69506691 0.56097598 0.02585368 2.71110009 0.73431593 0.24624456
0.91141814 0.71648389 0.00725923 3.33434351 1.13046780 0.07828624
0.74616728 0.62956588 0.03884523 2.10862273 0.93361767 0.29535183
0.35190559 0.79115883 0.03146773 1.64092830 0.89258371 0.18496133
0.23111482 0.21923527 0.01537025 3.27201365 1.21117747 0.02068509
0.40993756 0.96396431 0.00910021 3.99466460 0.89425822 0.01864459
