# cl_TT                  cl_TE                    cl_EE
9.567136153500073306e+02 2.220168002007836705e+00 1.911980903245593180e-02
8.752452596605844519e+02 2.051355012674728862e+00 1.546226210171749299e-02
8.078150319288096171e+02 1.621003214125993575e+00 8.519751277519088326e-03
7.586383489598006236e+02 1.182631655746049670e+00 3.923088019484020222e-03
7.237656134713303118e+02 8.446161000103683536e-01 1.960379789485918855e-03
6.988741010420455950e+02 6.296230143850591876e-01 1.238770267939191599e-03
6.808513063880876643e+02 5.196979465969512324e-01 9.057824703084556414e-04
6.681176487129847601e+02 4.832643144428369064e-01 7.295183537304165576e-04
6.590093446488405107e+02 4.913235243864784718e-01 6.673846835325814800e-04
6.525618353830379874e+02 5.226679610902944528e-01 6.947735436417878203e-04
6.486672075854493187e+02 5.656542648528616324e-01 7.996258517073322539e-04
6.467258452125342956e+02 6.148547323991255809e-01 9.782545809500645465e-04
6.458949346408559222e+02 6.684222699717589089e-01 1.228602285802166301e-03
6.460309980002250541e+02 7.273572445386116136e-01 1.549626319305538518e-03
6.473509827165544266e+02 7.907071890825602134e-01 1.939599210315237198e-03
6.498325703379581455e+02 8.554294375672800710e-01 2.399211407913726286e-03
6.524349439294622925e+02 9.179452666441707542e-01 2.928588385980096173e-03
6.569895693854776937e+02 9.802243411096870362e-01 3.536498758355103439e-03
6.615659660821593206e+02 1.038584809957780131e+00 4.226305761858037240e-03
6.665153224142627550e+02 1.094897695826123396e+00 5.003062634724156875e-03
6.719525160198176081e+02 1.148300544718142246e+00 5.875370652522940614e-03
6.776627147321240727e+02 1.199773781237783332e+00 6.847168932093626072e-03
6.838051567256478620e+02 1.248335539495874835e+00 7.926573540059551892e-03
6.903067148686517385e+02 1.291290686837941459e+00 9.114889789031362100e-03
6.970646888750152357e+02 1.331468624679405632e+00 1.041686011820435430e-02
7.042054401274778002e+02 1.367518525298790255e+00 1.183982299675325790e-02
7.115413249614140341e+02 1.398674605732888709e+00 1.339170127432747458e-02
7.191900341583105956e+02 1.423800949136485583e+00 1.507839343718160932e-02
7.270534675198890682e+02 1.442920751953342684e+00 1.689436484703495459e-02
7.351305903086971512e+02 1.458488241696719534e+00 1.885650239713652573e-02
7.435148774105165330e+02 1.466750005740349749e+00 2.096903696573764950e-02
7.518904881504931836e+02 1.470569269353047437e+00 2.322868521946317918e-02
7.605609923176089069e+02 1.468361587562667658e+00 2.564850928853789833e-02
7.694034502730220311e+02 1.459377259071528377e+00 2.822100769640448203e-02
7.783567972411636902e+02 1.442929918852157378e+00 3.095078847028242056e-02
7.876178788122439300e+02 1.418059298461986417e+00 3.385471714208859034e-02
7.970394141661680578e+02 1.386746151802798588e+00 3.693871743753622539e-02
8.065564798174721091e+02 1.348274718764952196e+00 4.019713956120215398e-02
8.161589911828053800e+02 1.301364974313250045e+00 4.362457998368610840e-02
8.259031189667124409e+02 1.246200467616802587e+00 4.722595450496362701e-02
8.358044133297655662e+02 1.183916566481548083e+00 5.101006572347872164e-02
8.458841742892388993e+02 1.114625991538945371e+00 5.498450200351300693e-02
8.561877374176856392e+02 1.037636916277954624e+00 5.915409811558478004e-02
8.666867096571011189e+02 9.525025013821014630e-01 6.351968743419671160e-02
8.773060319543133119e+02 8.589764509145947358e-01 6.807848000246902176e-02
8.880139646082961917e+02 7.566075573824647682e-01 7.282626868251955432e-02
8.988011142811030822e+02 6.449405912616017478e-01 7.775735475350649406e-02
9.097140190550022680e+02 5.236491874826194604e-01 8.287442419191515253e-02
9.208293273011787505e+02 3.926377431117971661e-01 8.818381594069611695e-02
9.321573462960458301e+02 2.525575498016184861e-01 9.369029489970354119e-02
9.436200577350820140e+02 1.044773426498723373e-01 9.939292858789726404e-02
9.551646793408812073e+02 -5.119476400793512849e-02 1.052899843769135313e-01
9.667621078065387792e+02 -2.145475126722765080e-01 1.113811510968853030e-01
9.784827030914989336e+02 -3.862916908123646409e-01 1.176612605758420443e-01
9.904040005186994904e+02 -5.672660013658125111e-01 1.241269654036004227e-01
1.002518186758275874e+03 -7.578418310319333662e-01 1.307791731486785125e-01
1.014767781446493586e+03 -9.580638363500537658e-01 1.376201878516455368e-01
1.027151489529080209e+03 -1.167551629453942308e+00 1.446455084587216777e-01
1.039696955575081574e+03 -1.385819637517125003e+00 1.518497587884983235e-01
1.052407716192035423e+03 -1.612530041522574287e+00 1.592280395589572017e-01
1.065272772409439312e+03 -1.847557254044823738e+00 1.667780845901902786e-01
1.078261937232312448e+03 -2.090811066255722217e+00 1.744974198068691140e-01
1.091367959249323803e+03 -2.342362174625918225e+00 1.823878835040550206e-01
1.104614383946984844e+03 -2.602402485882511218e+00 1.904428921907171113e-01
1.118031144898038519e+03 -2.870980040765433561e+00 1.986565022714388840e-01
1.131616487066443142e+03 -3.147771187403000326e+00 2.070203893274608631e-01
1.145354274928563200e+03 -3.432376993912360952e+00 2.155279278111399688e-01
1.159240934439671037e+03 -3.724590264729476630e+00 2.241734112199084139e-01
1.173253017539527264e+03 -4.024237179871036574e+00 2.329531968999524194e-01
1.187399929198862765e+03 -4.331309542096642318e+00 2.418636591645520750e-01
1.201738883658196983e+03 -4.646300889929226408e+00 2.509025726225223574e-01
1.216253371619272457e+03 -4.968891063747649994e+00 2.600630693752395972e-01
1.230917755539947166e+03 -5.298488291402220440e+00 2.693372458957492555e-01
1.245701390803841150e+03 -5.634678375439734488e+00 2.787157738171293642e-01
1.260611195948942623e+03 -5.977203943374019168e+00 2.881916352765279132e-01
1.275671259585807320e+03 -6.326060706576922321e+00 2.977568313775426079e-01
1.290921284480323493e+03 -6.681305347360877001e+00 3.074040140884174988e-01
1.306379100092200133e+03 -7.043025333873584870e+00 3.171258357487909407e-01
1.322029342093016794e+03 -7.410816646374605909e+00 3.269153357697591744e-01
1.337800144223324878e+03 -7.783857902030796971e+00 3.367659591105082173e-01
1.353674669280291255e+03 -8.161909962179224820e+00 3.466688061716397540e-01
1.369672788817178798e+03 -8.544790672014586974e+00 3.566149565762615770e-01
1.385811280788437443e+03 -8.932472555864954700e+00 3.665956613759097649e-01
1.402107263981299866e+03 -9.324734803134532513e+00 3.766027780978703499e-01
1.418563091474158909e+03 -9.721437283898179516e+00 3.866267303292392210e-01
1.435164354656804562e+03 -1.012215878744454045e+01 3.966600819817810986e-01
1.451904367954020699e+03 -1.052650861766280066e+01 4.066940821384529281e-01
1.468774522667025394e+03 -1.093410468589918416e+01 4.167185278643061874e-01
1.485767899473428770e+03 -1.134454527260456125e+01 4.267246821627097009e-01
1.502881475026506678e+03 -1.175752009544142673e+01 4.367024891732457781e-01
1.520119851921561349e+03 -1.217280292241175665e+01 4.466432279519931825e-01
1.537486802121853543e+03 -1.259024023649439883e+01 4.565382121307935415e-01
1.554988357025925552e+03 -1.300954125995351518e+01 4.663777404950609773e-01
1.572621614011377233e+03 -1.343045730442544539e+01 4.761525852289132943e-01
1.590391567314203030e+03 -1.385273969452197562e+01 4.858527296248286720e-01
1.608291494208876429e+03 -1.427610054087020686e+01 4.954685449374713335e-01
1.626319444824676111e+03 -1.470021340212031014e+01 5.049923864856308287e-01
1.644479697469749681e+03 -1.512475185218976037e+01 5.144160695692808760e-01
1.662769937001552307e+03 -1.554951769614129553e+01 5.237256874529955253e-01
1.681182572677010285e+03 -1.597411056331820944e+01 5.329170012558418490e-01
1.699712252940020790e+03 -1.639816337449266825e+01 5.419779071365976586e-01
1.718355544957128359e+03 -1.682136661419204771e+01 5.508970907137030748e-01
1.737105861933291635e+03 -1.724326873175198571e+01 5.596679601465046616e-01
1.755956617624290857e+03 -1.766353359028588343e+01 5.682857459840565673e-01
1.774896250363673971e+03 -1.808181316893739776e+01 5.767386482663425795e-01
1.793925674536440056e+03 -1.849765247010976310e+01 5.850194470810365921e-01
1.813038234297910776e+03 -1.891072595526054201e+01 5.931158763306499937e-01
1.832224893122964431e+03 -1.932073192156783747e+01 6.010211861651514331e-01
1.851484511406400316e+03 -1.972718084549838835e+01 6.087335325044244128e-01
1.870812844753259469e+03 -2.012979313494640721e+01 6.162396468010222783e-01
1.890203912726240560e+03 -2.052818066877712866e+01 6.235262896390491028e-01
1.909651855757272415e+03 -2.092198911563816566e+01 6.305936108544926144e-01
1.929156726791782376e+03 -2.131090385810017551e+01 6.374339056135007731e-01
1.948714417224821773e+03 -2.169455001583893505e+01 6.440297063908149156e-01
1.968312922318729989e+03 -2.207253523544599716e+01 6.503802349817187078e-01
1.987951130789963145e+03 -2.244459245775006906e+01 6.564770874684158208e-01
2.007624583777441558e+03 -2.281035737386453377e+01 6.623152087459932558e-01
2.027327423432270052e+03 -2.316943772241606325e+01 6.678844466340320141e-01
2.047047177796302549e+03 -2.352157355922915372e+01 6.731799820337995843e-01
2.066783672486859814e+03 -2.386639364926698903e+01 6.781981619450176968e-01
2.086531981142536551e+03 -2.420350582761117053e+01 6.829284859850812683e-01
2.106279281027941124e+03 -2.453265726895213206e+01 6.873734542587487395e-01
2.126026100084566224e+03 -2.485354063899432475e+01 6.915230311871689572e-01
2.145759961606703655e+03 -2.516576967228937178e+01 6.953801866960117595e-01
2.165474545206211587e+03 -2.546909866443592918e+01 6.989344187875509151e-01
2.185171437042657999e+03 -2.576320671908995052e+01 7.021888422328543822e-01
2.204837427705151640e+03 -2.604748309287614916e+01 7.051256487457872035e-01
2.224459149797849477e+03 -2.632190398684252841e+01 7.077559120192231656e-01
2.244044879947580284e+03 -2.658615885653621902e+01 7.100830534455918608e-01
2.263575335811551668e+03 -2.684000028407533733e+01 7.120966435096970359e-01
2.283054832275055105e+03 -2.708305166427531674e+01 7.138089368893475450e-01
2.302475434812097319e+03 -2.731518695708043154e+01 7.151981738161048430e-01
2.321841704765224222e+03 -2.753595126997780440e+01 7.162692353335370354e-01
2.341145234270253241e+03 -2.774510780910019037e+01 7.170149749840443176e-01
2.360383395287104577e+03 -2.794247760935348168e+01 7.174398064049171131e-01
2.379550364464253562e+03 -2.812781452330457910e+01 7.175358764843349224e-01
2.398654961522837766e+03 -2.830088535496696878e+01 7.173045210396088445e-01
2.417682876459682575e+03 -2.846149362001141370e+01 7.167544128424296890e-01
2.436634065816996099e+03 -2.860936124984056050e+01 7.158733234669694134e-01
2.455509809112676066e+03 -2.874436492543159360e+01 7.146677836175163723e-01
2.474298259075562783e+03 -2.886624102755482113e+01 7.131408030791412944e-01
2.492998115914844220e+03 -2.897474086733092946e+01 7.112889857007755889e-01
2.511590455409227616e+03 -2.906975213551215731e+01 7.091246465917796504e-01
2.530071597011589802e+03 -2.915095775444478221e+01 7.066522040830692797e-01
2.548432192515614588e+03 -2.921822281465392734e+01 7.038726366317188399e-01
2.566662894054711614e+03 -2.927130140714546513e+01 7.007924731240400273e-01
2.584751891621202049e+03 -2.930999689143840570e+01 6.974182418730567878e-01
2.602692377000949364e+03 -2.933421898133328298e+01 6.937564705412202493e-01
2.620490252186482849e+03 -2.934387740612887185e+01 6.898163826417457178e-01
2.638141313931897912e+03 -2.933891213544702126e+01 6.856109781811360326e-01
2.655646422667957268e+03 -2.931917036565438295e+01 6.811421728811811738e-01
2.673007201504907698e+03 -2.928441922468397252e+01 6.764100213141162055e-01
2.690222079160860631e+03 -2.923450451130004879e+01 6.714192783435811718e-01
2.707284152885155436e+03 -2.916921255606594343e+01 6.661739802354704754e-01
2.724194315543181801e+03 -2.908837467571283852e+01 6.606825581616107002e-01
2.740943834493926261e+03 -2.899185735217158211e+01 6.549464664259213587e-01
2.757520976201805297e+03 -2.887949705607714534e+01 6.489763163290108716e-01
2.773913214327057176e+03 -2.875115982407160686e+01 6.427785711411065916e-01
2.790116082821934469e+03 -2.860667791527083992e+01 6.363674262961410699e-01
2.806117149047593102e+03 -2.844592627927967143e+01 6.297489657000725494e-01
2.821908692771627102e+03 -2.826880561544655279e+01 6.229263918446840131e-01
2.837485594867775944e+03 -2.807519601877799786e+01 6.159139413433258881e-01
2.852839949116139451e+03 -2.786504108413717518e+01 6.087258491523633852e-01
2.867967294974587276e+03 -2.763838351972493612e+01 6.013763485202571202e-01
2.882863173060085046e+03 -2.739522879205782502e+01 5.938796709392698547e-01
2.897523125156201786e+03 -2.713553291284610225e+01 5.862453601492658706e-01
2.911937891243472677e+03 -2.685928282827858737e+01 5.784894705218409650e-01
2.926109996005153789e+03 -2.656651468383549286e+01 5.706290874353560083e-01
2.940030395485687222e+03 -2.625724284798745245e+01 5.626784349192066603e-01
2.953689385346328891e+03 -2.593150580410363304e+01 5.546517350388441292e-01
2.967087784188228397e+03 -2.558947370867994309e+01 5.465737499792461263e-01
2.980218143906140995e+03 -2.523120524071945070e+01 5.384580923628858873e-01
2.993073739898230997e+03 -2.485674238769518496e+01 5.303277140535360701e-01
