# cl_TT                  cl_TE                    cl_EE
1.154992004685512711e+03 3.940254442434177662e+00 7.024068849132010517e-02
1.034176823882753524e+03 5.142967785975193884e+00 1.297776121745402855e-01
9.304663195821050294e+02 5.469953679828608806e+00 1.680661570578543818e-01
8.500032388779021630e+02 5.246359339764808283e+00 1.758045378940195635e-01
7.887857159288303137e+02 4.733605525971174899e+00 1.567118147046598076e-01
7.425798854508051363e+02 4.099421577006807205e+00 1.219559897857237785e-01
7.075824544950992276e+02 3.447343280848448543e+00 8.398827563113681061e-02
6.812097260109982244e+02 2.832273218198203324e+00 5.211125517095299003e-02
6.616594923129734980e+02 2.285435965308948880e+00 3.070124333998141067e-02
6.475206964238710725e+02 1.824036212404802404e+00 1.956694313089810122e-02
6.381815311104485318e+02 1.463088378998334660e+00 1.574196800666225263e-02
6.319613536854946005e+02 1.203333380527322971e+00 1.551415691056999384e-02
6.280854087785633055e+02 1.036166505709933849e+00 1.590406342006967649e-02
6.256259675308687065e+02 9.472416170143180825e-01 1.537179019948937443e-02
6.256069396199167159e+02 9.229325165873417669e-01 1.368488235651602047e-02
6.276443689336725811e+02 9.445247789091222312e-01 1.151115018569181213e-02
6.306006488554678526e+02 9.944727984430403733e-01 9.610300133683882112e-03
6.353026412916447043e+02 1.059248147290291708e+00 8.431640547548299031e-03
6.401826707555140956e+02 1.118437727385899638e+00 8.195044094594138365e-03
6.458208933422462223e+02 1.166990040354612290e+00 8.593473084267019488e-03
6.521080491562089492e+02 1.199365351716386474e+00 9.224914174508415388e-03
6.585978181710389663e+02 1.216234963730427721e+00 9.762076620839405666e-03
6.655866054061997374e+02 1.219661736589794154e+00 9.979849312235731032e-03
6.732543065921241805e+02 1.206606708789453197e+00 9.956207865047644531e-03
6.811439183601612513e+02 1.185237864731358171e+00 9.861305104979097361e-03
6.895763972679643530e+02 1.160696076628713325e+00 9.906283746548965111e-03
6.982862752160897344e+02 1.132458562600658025e+00 1.025924066481472517e-02
7.071900410166856545e+02 1.109613012705474855e+00 1.097382247877084008e-02
7.164978413985741099e+02 1.088487523792467604e+00 1.205420351116402375e-02
7.256074082389566229e+02 1.078747704301747268e+00 1.341198252331143870e-02
7.353164090511064614e+02 1.073747260207883913e+00 1.497565459486447162e-02
7.450571854579388855e+02 1.072640821326227956e+00 1.666644088111140717e-02
7.547918290073353091e+02 1.077260361137986067e+00 1.848660117226347266e-02
7.652034099159228617e+02 1.077372508929823391e+00 2.043257688727955976e-02
7.754740219842759643e+02 1.081154216585424654e+00 2.252149208848772469e-02
7.860166371411816044e+02 1.078559006668330156e+00 2.474974902400811291e-02
7.968132553997759260e+02 1.067653603071053503e+00 2.707394191509363696e-02
8.077881669214579006e+02 1.047574425237528750e+00 2.945953342890233334e-02
8.189199468794237191e+02 1.016703924480323762e+00 3.187682174062744789e-02
8.301692713083209583e+02 9.740964523466245639e-01 3.430856533104813255e-02
8.415366440133562946e+02 9.214270815983647278e-01 3.678684430244764242e-02
8.530195263319540118e+02 8.606267975392354330e-01 3.935590193741549114e-02
8.646525216093687050e+02 7.920220698350893818e-01 4.205782718438589446e-02
8.764850901266511300e+02 7.156348136898132983e-01 4.493188611199499388e-02
8.884697249445339367e+02 6.319679914014466604e-01 4.800582872870880202e-02
9.005796088453308812e+02 5.415916426531932615e-01 5.127307790318531150e-02
9.127800975413479136e+02 4.450740110890680223e-01 5.471160343268528098e-02
9.250514035758089904e+02 3.430576310243917404e-01 5.829863220211443237e-02
9.374405947446828122e+02 2.363239538578021104e-01 6.202253355248422279e-02
9.499998572979903884e+02 1.255278128712613295e-01 6.587627616109431594e-02
9.626755691072988839e+02 1.061549744133857484e-02 6.986676923095079539e-02
9.753969413840245579e+02 -1.088537596722740086e-01 7.400106430913185040e-02
9.881451837654950623e+02 -2.341798828418416856e-01 7.828695574412346259e-02
1.000916362531870959e+03 -3.670324255798708690e-01 8.273372353013727643e-02
1.013822658329347064e+03 -5.093299058925907508e-01 8.734198835005105299e-02
1.026965295088734138e+03 -6.614218551062075457e-01 9.210447575674753085e-02
1.040301618787882262e+03 -8.225863060870023391e-01 9.701416603100708469e-02
1.053744405125497906e+03 -9.918138101476495772e-01 1.020647823003853066e-01
1.067273284748029710e+03 -1.167678926872016909e+00 1.072426193634918035e-01
1.080894725913297862e+03 -1.349038744791504207e+00 1.125361461792376977e-01
1.094611122736611833e+03 -1.536237040821302635e+00 1.179425282669282760e-01
1.108436850199854916e+03 -1.730004118255035195e+00 1.234618481578966948e-01
1.122371426291663738e+03 -1.931062848973709389e+00 1.290934456029027011e-01
1.136436653742322733e+03 -2.140195528834183847e+00 1.348388889199872709e-01
1.150666675154568338e+03 -2.357970495315895754e+00 1.406950994319568216e-01
1.165040996674992130e+03 -2.583260856828301755e+00 1.466671523399364352e-01
