# h        omch2      ombh2      ln(10^10*As)    ns    tau
0.73061941 0.07720991 0.01595837 3.65159738 0.89763971 0.19778589
0.78311220 0.10678130 0.01103144 3.19100710 1.04628694 0.22556013
0.69588246 0.15682724 0.02692459 3.98307777 0.85043415 0.11445663
0.76308257 0.06873258 0.01014124 2.21378480 1.08619464 0.16288732
0.73230303 0.05472927 0.02840256 3.86616444 1.05955350 0.02800074
0.62125635 0.08171521 0.01321569 3.35842190 0.90619538 0.07540274
0.65646391 0.14231866 0.01513597 3.02721046 1.00518019 0.16760451
0.61515239 0.20090857 0.01168313 2.95875474 0.98057039 0.17353799
0.76988129 0.04561944 0.02697938 2.91258355 0.98367434 0.16227473
0.68025030 0.16817849 0.02191969 3.58686370 1.01918208 0.16306158
0.63974428 0.14884888 0.02538817 1.95077142 0.82852285 0.22061521
0.66144538 0.04836009 0.01569873 3.59500725 1.04046511 0.14011134
0.72269522 0.05560117 0.02107748 3.46071281 0.82129685 0.08703322
0.62591923 0.15916416 0.01524452 2.60965204 1.07970976 0.10116711
0.66873492 0.17251719 0.01450313 2.86100448 0.86886653 0.17418034
0.70543604 0.17193787 0.03070192 2.77621665 0.84077694 0.02041344
0.70527098 0.19320516 0.02809951 2.47709509 0.93567107 0.19752367
0.62927643 0.16141171 0.01123538 2.01187388 0.90348280 0.01541505
0.60750501 0.12139900 0.01516076 3.99896836 1.08858053 0.22201826
0.60189995 0.04467974 0.02931861 2.94555090 1.10517529 0.03820710
0.74530414 0.12639248 0.02398009 3.51102038 0.98670724 0.11656733
0.77029595 0.16321581 0.01400554 3.69139143 0.88845971 0.24081245
0.65308089 0.09167519 0.01245121 4.09575917 0.82069313 0.06223818
0.67746974 0.07295107 0.01158522 2.59628749 1.06661827 0.14180389
0.80917159 0.11864148 0.02824263 3.08787558 0.84447984 0.22802039
0.69650919 0.09417886 0.01609388 3.26260691 0.82463582 0.00449556
0.73797801 0.07904818 0.00943659 2.39458895 0.84599507 0.11376904
0.66572472 0.09886058 0.01150070 3.58295790 0.82496482 0.25699052
0.78531962 0.19267509 0.02416013 1.94250056 0.81962792 0.07117791
0.69187441 0.05908952 0.01657624 3.44161576 0.91937612 0.08105359
0.66980812 0.14322038 0.01478333 2.75586930 0.94913952 0.22112514
0.74533354 0.19662927 0.01341859 2.96991511 0.95406639 0.13727583
0.59533586 0.07765909 0.00990938 3.42036315 0.97674283 0.17026752
0.73649580 0.04454769 0.03097256 4.06959692 0.80472242 0.20043694
0.68320448 0.17638327 0.01695009 2.80754282 0.78816192 0.23690290
0.65717762 0.15462413 0.03068679 2.15657897 0.94881592 0.15562529
0.61248986 0.16093921 0.02127916 2.74822309 0.88564581 0.01227526
0.76687892 0.14768994 0.02720553 3.96959660 1.09978750 0.02873186
0.73328263 0.05890834 0.01056635 3.18017560 1.01070879 0.08799092
0.69792542 0.14147561 0.02284900 2.13966137 0.98933069 0.22956651
0.64816301 0.13362616 0.02653917 3.96092550 0.91326209 0.13257011
0.79868948 0.05710431 0.02047554 3.55026374 0.90309952 0.24624281
0.62102274 0.05131072 0.02854221 1.91561556 1.06626532 0.03351742
0.64557483 0.11783498 0.02453868 2.95721842 1.06280534 0.22161711
0.63509342 0.09914818 0.02001365 3.77531369 0.79116686 0.10593211
0.69063758 0.07051718 0.02027310 4.09153340 0.94795153 0.07146652
0.67240578 0.16192562 0.03081834 2.12529575 1.02538922 0.03870405
0.68849416 0.13662512 0.01949654 3.33527571 1.01192231 0.21245973
0.61549575 0.19802505 0.03058591 3.15457527 0.97284579 0.18627017
0.66190210 0.20654506 0.02852345 2.64403397 0.82886119 0.01745913
0.62292856 0.18037943 0.02979929 3.40058696 0.80601929 0.03450976
0.77130969 0.17724128 0.02780496 2.02853216 0.86399225 0.25506954
0.68139304 0.20410051 0.01629021 2.70341164 0.84279225 0.00674790
0.68346550 0.20171347 0.01499504 3.96443359 0.96283582 0.08690184
0.60045120 0.12133270 0.01667781 1.99385465 0.87550033 0.25119793
0.59052042 0.06084081 0.02111655 3.37750314 1.08484616 0.18024474
0.64006562 0.12933606 0.02169528 3.49699059 0.84034899 0.15407938
0.67522704 0.16369339 0.03080138 3.85238790 0.94716103 0.04699876
0.72538973 0.18087373 0.03018203 2.56326985 0.90511938 0.23169914
0.65846614 0.04576002 0.01923873 4.06402282 1.05850733 0.21616492
0.74927244 0.08664099 0.01037900 2.85493095 0.81314317 0.21550141
0.77555961 0.14049286 0.01014782 2.99763399 0.97433430 0.05853783
0.79842285 0.08778330 0.02280729 3.52520515 0.99718997 0.07904154
0.69333190 0.19938610 0.03088740 2.40016627 0.95982719 0.04091993
0.65920742 0.14623597 0.00972873 3.44722683 0.82436733 0.15479820
0.72733033 0.15423099 0.01252213 2.44694069 1.07678534 0.13603289
0.74607102 0.05815427 0.02726024 3.38557510 0.92851162 0.13895679
0.75577181 0.16278672 0.02070810 2.05573378 0.92960042 0.10629249
0.77076367 0.05170154 0.01548389 2.20094928 0.79950973 0.00346575
0.72833823 0.06528422 0.02315852 3.43975246 0.94301742 0.23930240
0.61669671 0.04377290 0.01428220 2.58240009 1.04496715 0.21361873
0.75943363 0.05669980 0.01736687 2.62434496 1.09278182 0.04435236
0.71171555 0.14824974 0.02253878 3.67682771 0.81176329 0.12830333
0.67599200 0.11710711 0.02193651 3.49364581 0.84485018 0.18741605
0.75545456 0.12175670 0.01205915 2.74487214 1.04557554 0.10348648
0.63104239 0.06512332 0.00960984 3.87460550 1.04903653 0.01706467
0.62347571 0.16502010 0.02249443 3.34744573 0.91770528 0.07596038
0.75806503 0.11837867 0.01170205 3.00303563 1.06457638 0.24168276
0.73864724 0.09244186 0.02831914 2.93821741 0.98133720 0.05959134
0.70812066 0.17228286 0.02656202 3.40830591 1.08330669 0.13957973
0.64028843 0.17138908 0.01813099 3.43220638 0.84183820 0.22693151
0.74678541 0.07487293 0.02769456 2.88346539 0.90338532 0.02406802
0.62581000 0.20201443 0.01604933 1.90549216 1.07427114 0.00793731
0.63881740 0.07508672 0.02936445 4.08182515 0.95290759 0.24757914
0.68626930 0.19228181 0.02288664 3.50866211 0.78620238 0.11359045
0.68759225 0.07669299 0.01846540 3.47218631 0.96833597 0.11575110
0.71815802 0.17436211 0.02753623 2.19775945 1.11085728 0.21090232
0.80276129 0.13747734 0.03074583 3.68392394 0.99199415 0.00144097
0.59554895 0.12619990 0.02957252 3.27407065 1.00897539 0.24451255
0.76108769 0.19098196 0.01785579 2.68135000 1.00334146 0.23573934
0.74461488 0.13958969 0.01867835 2.52075837 0.81845086 0.12475614
0.78139724 0.13149966 0.01750155 2.46708712 1.08801351 0.13537855
0.70309697 0.18703291 0.02201381 3.88407989 1.02027827 0.22449114
0.76164007 0.08989895 0.02522518 1.97320678 0.92024524 0.24774401
0.63076049 0.18505776 0.02346590 2.39879548 1.07614804 0.18844279
0.67130512 0.20499951 0.00919285 2.57497445 0.96999705 0.08371636
0.64258237 0.12334969 0.01337343 2.49486842 0.96756826 0.00662224
0.74112305 0.15969372 0.01217176 3.52596266 0.87506131 0.20149930
0.74135544 0.08504255 0.02408579 2.35805311 0.97231739 0.16367878
0.71503428 0.13692581 0.02533560 2.06894216 0.99869621 0.05734567
0.65931785 0.16218069 0.02847533 3.63357184 0.79381511 0.10884961
0.64591357 0.04952544 0.03012690 2.58118819 1.04805912 0.13005715
0.62870263 0.18776795 0.02999751 2.99415287 1.04272707 0.07180888
0.60818865 0.11935701 0.01674105 3.29609655 0.87816286 0.14190649
0.79387713 0.18116366 0.01900847 3.83434091 0.89505642 0.16714858
0.77971745 0.12053311 0.02314230 2.85707000 1.01083630 0.24589191
