# h        omch2      ombh2      ln(10^10*As)    ns    tau
0.66770766 0.07249939 0.01714097 2.49292438 1.00510030 0.09255632
0.71627983 0.10920430 0.02821853 3.32744534 0.86855193 0.06843730
0.67984841 0.14572290 0.01227488 2.92858933 0.90701188 0.11936857
0.74244978 0.06732920 0.02148535 2.51506543 1.09521164 0.16766959
0.63589350 0.08781722 0.01567012 3.56503695 0.80600362 0.12076057
0.62208608 0.06820173 0.01119724 3.50644886 0.82698361 0.21838635
0.65577753 0.12983818 0.01693645 3.46634223 0.91241066 0.20661369
0.64171300 0.17776463 0.01541906 3.45206983 0.95590045 0.18962450
0.74005028 0.17328737 0.01443470 3.11091619 0.85818755 0.03480159
0.64201846 0.06117923 0.02322162 3.27722982 0.94575453 0.19102870
0.77683459 0.10612790 0.01213703 2.55569662 0.98729775 0.11714506
0.70936609 0.10461367 0.01313297 2.22856748 1.09036070 0.23328558
0.77448115 0.15251237 0.02288285 2.43968054 1.05435435 0.15003738
0.76769854 0.05513443 0.01659162 2.57634409 0.86016363 0.06326781
0.74180911 0.07824249 0.02163434 2.85160497 0.87618382 0.18504832
0.79545199 0.05431548 0.02458923 2.19260774 1.02866926 0.12511622
0.65307370 0.18623883 0.01396874 2.68766942 0.94342446 0.05091377
0.71275514 0.13113101 0.02025180 3.31846021 0.88531024 0.05033988
0.71992327 0.07521750 0.01144089 3.85597045 0.88336989 0.07805526
0.78904668 0.17706863 0.02133124 2.29911038 0.97160981 0.08562997
0.71758907 0.18856835 0.01901179 2.56942012 0.90825322 0.24643931
0.63216121 0.17037199 0.01177774 2.09972542 0.94181458 0.08065106
0.71068211 0.14786624 0.02904818 2.76431182 0.80975892 0.01077334
0.67607708 0.16598742 0.01096389 3.06067416 0.91541233 0.17074004
0.61180944 0.13731915 0.01105764 2.31393691 0.85560203 0.04580993
0.78818000 0.16157935 0.01820013 3.26077740 1.00385867 0.20498689
0.69686008 0.17569712 0.02692914 3.94214331 1.03934389 0.24321862
0.76385583 0.05878706 0.01813864 2.66334140 0.81927255 0.16252943
0.69346010 0.08808410 0.02469644 3.18091963 0.92413953 0.13190922
0.65025237 0.11552793 0.01623841 2.42649124 0.84582927 0.20832581
0.61539942 0.06045616 0.02426871 3.67533501 0.89914884 0.15948601
0.61811762 0.09554578 0.01257429 2.19392956 0.98341001 0.21057372
0.73902166 0.08896016 0.02736277 3.98139184 1.07730763 0.07491484
0.73454093 0.10197107 0.01774589 3.29007587 0.80556664 0.12909985
0.74562630 0.12016123 0.02421900 2.87052942 1.07462026 0.03365027
0.75698798 0.17088045 0.02180238 3.47069066 1.03156530 0.06423817
0.74632602 0.10559258 0.02713592 3.58112316 0.96343087 0.19614854
0.74303181 0.13437201 0.01739679 2.67608249 1.03618788 0.18242607
0.79873202 0.14110863 0.01439376 3.05224439 1.05952472 0.01830049
0.70903610 0.17856822 0.01888582 3.14957270 0.82031480 0.04437865
0.77813929 0.09660164 0.01926725 2.87857159 0.81792129 0.21665831
0.62302393 0.13155271 0.02179753 2.92463701 0.97743885 0.09399018
0.79520557 0.09957909 0.01633471 3.82988142 0.98169113 0.19671549
0.60350233 0.07650757 0.02758052 3.21460428 0.84088322 0.13589208
