# cl_TT                  cl_TE                    cl_EE
5.663552629312532645e+02 1.334543240821801202e+00 9.450151108694068020e-03
5.342945538283842097e+02 1.205392108227424597e+00 7.754959129416073849e-03
5.052330827185335806e+02 9.491179271978843479e-01 4.367796639043401707e-03
4.836426581751550202e+02 6.988507822099411237e-01 2.057674481303659476e-03
4.684781005527136699e+02 5.099352629800921743e-01 1.048953322703386837e-03
4.579252932501073587e+02 3.924378691254012952e-01 6.790906980204370561e-04
4.505975795765303360e+02 3.355845398798924517e-01 5.170524388314443227e-04
4.458721173569217058e+02 3.216275635942046351e-01 4.398706827325203953e-04
4.428914391095100882e+02 3.334964191377846054e-01 4.262798066724816904e-04
4.411794795238539564e+02 3.598411097022043981e-01 4.661927979124982110e-04
4.407675581728556153e+02 3.941685278042298402e-01 5.547756974448722275e-04
4.413186889506670809e+02 4.333075156283583418e-01 6.921882168796534987e-04
4.423581715673695953e+02 4.756250206719207507e-01 8.778526988228739546e-04
4.438661233558705703e+02 5.202123512906571268e-01 1.111947764122343590e-03
4.460080056296239945e+02 5.672188561819898611e-01 1.396378752739374073e-03
4.487763300652747489e+02 6.158228646228366410e-01 1.731560400911628158e-03
4.514808432207181568e+02 6.633478809573218893e-01 2.118128402748629090e-03
4.553950538124335026e+02 7.113877134638758593e-01 2.565028893028971097e-03
4.592815777292680082e+02 7.568419370698488136e-01 3.068329044383746092e-03
4.632311219675969483e+02 8.001876729532679811e-01 3.642513370483087352e-03
4.673546141313070166e+02 8.413805014861900355e-01 4.287971693518602585e-03
4.718083118131605147e+02 8.825938024881346822e-01 5.003324499165157958e-03
4.765375452949896840e+02 9.204671795505727783e-01 5.797222422432757490e-03
4.811125509260245963e+02 9.575409279351642100e-01 6.677364339836911085e-03
4.860086286181929154e+02 9.918487340471963121e-01 7.649991207243148073e-03
4.910502663082949084e+02 1.021002663844866820e+00 8.702237130706455895e-03
4.962001849787309311e+02 1.049119027259973080e+00 9.850271687750475347e-03
5.015103038643381979e+02 1.071039622251377610e+00 1.110462381824628073e-02
5.067882989361469868e+02 1.091650613781770529e+00 1.246014627287446615e-02
5.124257689662108533e+02 1.107748135331481310e+00 1.392758790853666252e-02
5.179859879312055000e+02 1.120619569563451101e+00 1.549968454185110360e-02
5.237501182842185017e+02 1.128224052172285718e+00 1.718660582759097902e-02
5.296748525577826285e+02 1.130566674948543460e+00 1.899053837012916468e-02
5.354444417669199083e+02 1.130137552212074681e+00 2.092260037405439116e-02
5.413652554183483971e+02 1.124275889555276464e+00 2.297689067411890634e-02
5.474736122793409550e+02 1.114221025328514747e+00 2.515721709029084333e-02
5.537012281989395888e+02 1.099266113187566951e+00 2.747232290189291840e-02
5.599323497256832525e+02 1.077960470593071429e+00 2.991410549738041796e-02
5.661468173324694817e+02 1.050393964544688030e+00 3.248234657136019055e-02
5.723915450812913832e+02 1.017551297358301632e+00 3.518581291512545145e-02
5.787364888918513088e+02 9.795765109525352843e-01 3.803402507717535547e-02
5.852715950072431497e+02 9.360013347050666344e-01 4.103371780775327826e-02
5.919868086825978253e+02 8.867457511703465967e-01 4.418699476573827861e-02
5.988134537548316985e+02 8.319602422237938333e-01 4.749004170009156478e-02
6.056666560157700587e+02 7.714108409602700167e-01 5.093648632449724462e-02
6.125141509461003579e+02 7.043490463819367386e-01 5.452164849665513957e-02
6.194050645564374236e+02 6.304940105035113929e-01 5.824491076051954014e-02
6.263985890076127134e+02 5.495899545560675170e-01 6.211375300781972475e-02
6.334868224098140672e+02 4.621396333378384735e-01 6.613347769342110827e-02
6.406529366740500109e+02 3.685998604598906825e-01 7.030544588656879867e-02
6.478736109926968538e+02 2.692469224784009851e-01 7.462956932385286790e-02
6.551600781693825866e+02 1.640096189590389275e-01 7.910445908308133545e-02
6.626024882138975727e+02 5.231581724399057831e-02 8.372502870622712534e-02
6.702070100754581290e+02 -6.610156562346150566e-02 8.848968439533870523e-02
6.778695374658394712e+02 -1.910518736111949945e-01 9.339999324489443866e-02
6.855568451440706212e+02 -3.226100172094118479e-01 9.845704909552073503e-02
6.933069102975455280e+02 -4.607229568026554034e-01 1.036579431344005348e-01
7.011576893720723547e+02 -6.053726558203335051e-01 1.089997665332532589e-01
7.091397237658028416e+02 -7.566338293478694910e-01 1.144800799784517764e-01
7.172612977106438166e+02 -9.145026009643912879e-01 1.200965046127286384e-01
7.254762639594642906e+02 -1.078631159985587118e+00 1.258486930787937053e-01
7.337544175680243370e+02 -1.248770516933639163e+00 1.317328690241704459e-01
7.420884831537823629e+02 -1.424795664227752612e+00 1.377454690593976627e-01
7.504759995365292298e+02 -1.606604766614727176e+00 1.438819954308847293e-01
7.589183218115119871e+02 -1.794160469427052984e+00 1.501389587460997266e-01
7.674708697798884032e+02 -1.987757022151402042e+00 1.565126444401843675e-01
7.761804830252176544e+02 -2.187798155882015649e+00 1.630013092598438240e-01
7.851159254129081546e+02 -2.395027731863295539e+00 1.696086668377216333e-01
7.942952220837242976e+02 -2.609387280632531336e+00 1.763279219371787221e-01
8.036203222294690249e+02 -2.829603466768574993e+00 1.831459210324534181e-01
8.129892742976290947e+02 -3.054591241233322041e+00 1.900578264393607830e-01
8.222946427546969517e+02 -3.283530827091500903e+00 1.970586360802927817e-01
8.315051586220097306e+02 -3.516051423448933733e+00 2.041457434277740013e-01
8.407317541717990252e+02 -3.752986514286957398e+00 2.113154422301076196e-01
8.501174804375881422e+02 -3.995362962000952312e+00 2.185639853261097387e-01
8.597402068059089970e+02 -4.243760682559139852e+00 2.258849608294822009e-01
8.696216991437153183e+02 -4.498060102084701306e+00 2.332719173370444710e-01
8.797015061638700217e+02 -4.757614293412674833e+00 2.407187667657306462e-01
