# h        omch2      ombh2      ln(10^10*As)    ns    tau
0.79459538 0.12426438 0.01700225 3.05619469 0.84318662 0.15605770
0.67812137 0.14320483 0.02356737 2.35218199 1.00975137 0.08604738
0.60964247 0.07336543 0.01049857 3.81422710 1.05931579 0.04337570
0.71776248 0.16619826 0.02893826 2.51653193 0.88839771 0.22871844
0.74350685 0.05938452 0.02131517 2.82862691 0.93978358 0.18806538
0.63543586 0.19160320 0.01787991 3.50162861 1.06417799 0.12177773
0.65230394 0.09297989 0.02617821 2.03984178 0.96740454 0.01537987
0.76882697 0.14899936 0.01461843 3.36903846 0.82928180 0.20444499
0.76231811 0.08211019 0.02633939 3.65825316 0.99820306 0.24574732
0.66655171 0.17620185 0.01290451 2.98744349 0.87384984 0.05653726
0.64572375 0.11537606 0.02116383 3.46314537 0.89455672 0.07294451
0.72533281 0.13334150 0.01960352 2.13615311 1.03272067 0.13932169
0.70107791 0.10183621 0.01189990 2.44826348 1.09377636 0.21748960
0.62151787 0.15889482 0.02846464 3.15056196 0.92725281 0.03205693
0.69073355 0.05068104 0.01559108 2.67508815 0.80367256 0.10469038
0.78654897 0.18155846 0.02403130 3.97108150 0.97463184 0.17484512
0.78020325 0.05712993 0.01319799 2.11629691 0.88117384 0.03540581
0.69707885 0.18917007 0.02725778 3.28735337 1.04771456 0.20668467
0.61556291 0.10007253 0.01931103 2.76498919 1.02129481 0.16309009
0.70703253 0.15596842 0.02024629 3.59222479 0.85031836 0.10901864
0.73128758 0.10775530 0.02762523 3.77941133 0.82676431 0.06741363
0.63976932 0.12690177 0.01168555 2.57736013 0.95110036 0.24241489
0.67289724 0.08504574 0.02487154 3.09992163 1.08039348 0.13509411
0.75597301 0.17795637 0.01580642 2.30417115 0.94224670 0.08474534
0.76286744 0.09004663 0.02253273 2.73102019 1.03523986 0.12591578
0.65826314 0.14724713 0.01659251 3.93527963 0.91086262 0.17635409
0.62908555 0.06700757 0.02997389 2.39538318 0.85763607 0.19371355
0.74985672 0.19804522 0.01090915 3.19332187 0.99574165 0.01856737
0.72411259 0.07512682 0.01821237 3.38046274 0.98185399 0.09765799
0.60329279 0.16912237 0.02227269 2.20770826 0.81527207 0.15187384
0.68408071 0.11781320 0.01428681 3.74789376 0.91570765 0.22545950
0.78863637 0.13559094 0.02522168 2.91894012 1.08664290 0.05409070
0.79137944 0.07067011 0.02091518 2.27028157 0.83301491 0.02169158
0.68602594 0.16420661 0.01998038 3.06828997 0.96176724 0.19626188
0.60133534 0.12154149 0.02659899 2.60600059 1.06922947 0.17890430
0.72138172 0.14124083 0.01253875 3.81018860 0.93546463 0.12906020
0.74556398 0.09569477 0.01521597 3.62284937 0.89344911 0.04971306
0.62556662 0.15097137 0.02428063 2.79384337 1.05499677 0.22050236
0.66176988 0.06209013 0.01226650 3.25538593 1.01348441 0.14692958
0.76717240 0.19358455 0.02820665 2.08268208 0.83754924 0.09330421
0.75167944 0.11281739 0.01024988 2.88990293 0.97089425 0.11197264
0.66937749 0.13121213 0.02931508 3.71720805 0.80931455 0.16568425
0.64327686 0.07954247 0.01726181 2.24126215 0.92219686 0.20930624
0.73559334 0.17408146 0.02320157 3.41224699 1.09809999 0.03836890
0.70977480 0.05325906 0.02580314 3.22489259 1.02766465 0.08020113
0.61750734 0.18366855 0.01486781 2.42908956 0.89888028 0.13019380
0.69512222 0.10438687 0.02168181 3.90431935 0.87011218 0.23753099
0.77747319 0.16103220 0.01762195 2.70231860 1.00384498 0.06287486
0.78382326 0.09794485 0.02960725 3.33823065 0.94730275 0.14187466
0.68877249 0.15340915 0.01116711 2.01117083 1.07606996 0.07609351
0.62346673 0.05501129 0.02290780 3.53329076 0.95483806 0.05965874
